Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generateGetPresentersMethod,Long Statement,The length of the statement "MethodSpec.Builder builder=MethodSpec.methodBuilder("getPresenterFields").addAnnotation(Override.class).addModifiers(Modifier.PUBLIC).returns(ParameterizedTypeName.get(ClassName.get(List.class)`ParameterizedTypeName.get(ClassName.get(PresenterField.class)`containerClassName)));" is 278.,76
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generateGetPresentersMethod,Long Statement,The length of the statement "builder.addStatement("$T<$T<$T>> presenters = new $T<>($L)"`List.class`PresenterField.class`containerClassName`ArrayList.class`fields.size());" is 142.,76
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generatePresenterBinderClass,Long Statement,The length of the statement "TypeSpec.Builder classBuilder=TypeSpec.classBuilder(field.getGeneratedClassName()).addModifiers(Modifier.PUBLIC).superclass(ParameterizedTypeName.get(ClassName.get(PresenterField.class)`targetClassName)).addMethod(generatePresenterBinderConstructor(field`tag)).addMethod(generateBindMethod(field`targetClassName)).addMethod(generateProvidePresenterMethod(field`targetClassName));" is 379.,98
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generatePresenterBinderConstructor,Long Statement,The length of the statement "return MethodSpec.constructorBuilder().addModifiers(Modifier.PUBLIC).addStatement("super($S` $T.$L` $S` $T.class)"`tag`field.getPresenterType().getDeclaringClass()`field.getPresenterType().name()`field.getPresenterId()`field.getTypeName()).build();" is 248.,119
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generateBindMethod,Long Statement,The length of the statement "return MethodSpec.methodBuilder("bind").addAnnotation(Override.class).addModifiers(Modifier.PUBLIC).addParameter(targetClassName`"target").addParameter(MvpPresenter.class`"presenter").addStatement("target.$L = ($T) presenter"`field.getName()`field.getTypeName()).build();" is 271.,131
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generateProvidePresenterMethod,Long Statement,The length of the statement "MethodSpec.Builder builder=MethodSpec.methodBuilder("providePresenter").addAnnotation(Override.class).addModifiers(Modifier.PUBLIC).returns(ParameterizedTypeName.get(ClassName.get(MvpPresenter.class)`WildcardTypeName.subtypeOf(Object.class))).addParameter(targetClassName`"delegated");" is 285.,142
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generateProvidePresenterMethod,Long Statement,The length of the statement "builder.addStatement("throw new $T($S + $S)"`IllegalStateException.class`field.getClazz()`" has not default constructor. You can apply @ProvidePresenter to some method which will construct Presenter. Also you can make it default constructor");" is 243.,142
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generateGetTagMethod,Long Statement,The length of the statement "return MethodSpec.methodBuilder("getTag").addAnnotation(Override.class).addModifiers(Modifier.PUBLIC).returns(String.class).addParameter(targetClassName`"delegated").addStatement("return String.valueOf(delegated.$L())"`tagProviderMethodName).build();" is 250.,168
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterProviderMethod,PresenterProviderMethod,Long Parameter List,The method has 5 parameters. ,14
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,TargetPresenterField,TargetPresenterField,Long Parameter List,The method has 5 parameters. ,20
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,TargetPresenterField,getPresenterTagProviderMethodName,Long Identifier,The length of the field presenterTagProviderMethodName is 30.,75
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,TargetPresenterField,setPresenterTagProviderMethodName,Long Identifier,The length of the parameter presenterTagProviderMethodName is 30.,79
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,TargetPresenterField,setPresenterTagProviderMethodName,Long Identifier,The length of the field presenterTagProviderMethodName is 30.,79
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Identifier,The length of the parameter additionalMoxyReflectorsPackages is 32.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Identifier,The length of the field MAP_CLASS_TO_LIST_OF_OBJECT_TYPE_NAME is 37.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Parameter List,The method has 5 parameters. ,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Statement,The length of the statement "TypeSpec.Builder classBuilder=TypeSpec.classBuilder("MoxyReflector").addModifiers(Modifier.PUBLIC`Modifier.FINAL).addField(MAP_CLASS_TO_OBJECT_TYPE_NAME`"sViewStateProviders"`Modifier.PRIVATE`Modifier.STATIC).addField(MAP_CLASS_TO_LIST_OF_OBJECT_TYPE_NAME`"sPresenterBinders"`Modifier.PRIVATE`Modifier.STATIC).addField(MAP_CLASS_TO_OBJECT_TYPE_NAME`"sStrategies"`Modifier.PRIVATE`Modifier.STATIC);" is 397.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Statement,The length of the statement "classBuilder.addStaticBlock(generateStaticInitializer(presenterClassNames`presentersContainers`strategyClasses`additionalMoxyReflectorsPackages));" is 146.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Statement,The length of the statement "classBuilder.addMethod(MethodSpec.methodBuilder("getViewState").addModifiers(Modifier.PUBLIC`Modifier.STATIC).returns(Object.class).addParameter(CLASS_WILDCARD_TYPE_NAME`"presenterClass").addStatement("$1T viewStateProvider = ($1T) sViewStateProviders.get(presenterClass)"`ViewStateProvider.class).beginControlFlow("if (viewStateProvider == null)").addStatement("return null").endControlFlow().addCode("\n").addStatement("return viewStateProvider.getViewState()").build());" is 473.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Statement,The length of the statement "classBuilder.addMethod(MethodSpec.methodBuilder("getPresenterBinders").addModifiers(Modifier.PUBLIC`Modifier.STATIC).returns(ParameterizedTypeName.get(List.class`Object.class)).addParameter(CLASS_WILDCARD_TYPE_NAME`"delegated").addStatement("return sPresenterBinders.get(delegated)").build());" is 293.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Statement,The length of the statement "classBuilder.addMethod(MethodSpec.methodBuilder("getStrategy").addModifiers(Modifier.PUBLIC`Modifier.STATIC).returns(Object.class).addParameter(CLASS_WILDCARD_TYPE_NAME`"strategyClass").addStatement("return sStrategies.get(strategyClass)").build());" is 249.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Statement,The length of the statement "classBuilder.addMethod(MethodSpec.methodBuilder("getViewStateProviders").addModifiers(Modifier.PUBLIC`Modifier.STATIC).returns(MAP_CLASS_TO_OBJECT_TYPE_NAME).addStatement("return viewStateProvider.getViewState()").build());" is 223.,50
